type,Total,Count,OPS,Avg,p0 (min),p100 (max),p50,p90,p95,p99,p99.9,p99.99
Read,206.8,999996,4836.2,2161,733,21151,2065,2865,3159,4507,11719,14375
RMW,206.8,500389,2420.0,4015,2025,25167,3861,4851,5279,8999,14511,17807
Update,206.8,500387,2420.0,1829,940,20607,1728,2285,2529,3649,10775,13599
Total,206.8,1500383,7256.3,2050,733,21151,1927,2741,3039,4315,11423,14175
Read,207.8,999991,4812.9,2174,768,23695,2079,2881,3175,4507,11695,14327
RMW,207.8,499928,2406.2,4033,1773,25695,3881,4867,5295,9031,14503,17311
Update,207.8,499926,2406.2,1834,988,21983,1734,2293,2535,3621,10575,13447
Total,207.8,1499917,7219.0,2060,768,23695,1938,2755,3053,4311,11375,14127
Read,206.9,999990,4834.0,2164,746,18815,2069,2867,3157,4527,11927,14415
RMW,206.9,499810,2416.1,4019,1969,20975,3863,4847,5275,9127,14703,17151
Update,206.9,499807,2416.1,1830,943,17103,1729,2287,2525,3647,10879,13495
Total,206.9,1499797,7250.1,2052,746,18815,1929,2743,3039,4311,11615,14199
Read,206.1,999992,4851.2,2156,740,19503,2059,2853,3143,4487,11951,14527
RMW,206.1,500030,2425.8,4001,1148,24079,3845,4827,5247,9079,14735,17439
Update,206.1,500026,2425.7,1820,917,16511,1719,2275,2515,3593,10879,13671
Total,206.1,1500018,7276.9,2044,740,19503,1920,2729,3025,4287,11655,14311
Read,206.7,999992,4837.7,2161,738,26287,2063,2859,3149,4563,11991,14799
RMW,206.7,500306,2420.4,4009,1770,28591,3851,4835,5259,9151,14727,17791
Update,206.7,500301,2420.3,1824,967,17407,1723,2279,2519,3625,10919,13655
Total,206.7,1500293,7258.0,2049,738,26287,1923,2735,3029,4331,11703,14567
Read,206.4,999996,4845.6,2160,784,21151,2067,2863,3153,4495,11447,14215
RMW,206.4,499753,2421.7,4007,1721,23183,3855,4839,5271,8839,14327,17247
Update,206.4,499750,2421.7,1823,985,20399,1725,2279,2517,3601,10391,13183
Total,206.4,1499746,7267.3,2047,784,21151,1925,2737,3035,4283,11135,13991
Read,189.8,999990,5267.8,1978,526,19295,1873,2809,3147,4627,11671,14343
RMW,189.8,500078,2634.4,3687,1194,21247,3521,4699,5219,9015,14359,16719
Update,189.8,500075,2634.4,1685,727,16375,1593,2223,2495,3659,10567,13143
Total,189.8,1500065,7902.1,1880,526,19295,1753,2673,3013,4411,11367,14023
Read,207.3,999994,4824.9,2168,748,17407,2075,2875,3167,4479,11639,14167
RMW,207.3,499991,2412.4,4025,1940,20255,3873,4859,5287,8887,14455,16975
Update,207.3,499989,2412.4,1832,955,16359,1733,2293,2533,3643,10727,13439
Total,207.3,1499983,7237.3,2056,748,17407,1934,2751,3047,4287,11359,13983
Read,206.6,999989,4839.3,2160,759,23391,2063,2861,3155,4515,11807,14463
RMW,206.6,500803,2423.6,4007,1069,26223,3851,4839,5267,9023,14703,17055
Update,206.6,500797,2423.6,1823,975,18831,1722,2279,2519,3617,10879,13543
Total,206.6,1500786,7262.9,2047,759,23391,1923,2737,3035,4299,11527,14231
Read,188.2,999989,5314.5,1962,541,23887,1858,2789,3131,4631,11431,13943
RMW,188.2,500127,2658.0,3659,1053,30863,3495,4667,5187,8935,14055,17343
Update,188.2,500122,2658.0,1676,711,22479,1583,2213,2483,3677,10479,13015
Total,188.2,1500111,7972.6,1867,541,23887,1740,2655,2997,4419,11143,13807
